Internal ID,Identifier,Expressed,Purified,measured,max rate,mean rate
RBC_29,gi|516847257|ref|WP_018128943.1|,True,True,True,0.3,0.3
RBCSeed_8,gi|1101234582|gb|OIP81853.1|,True,True,True,3.4,3.4
RBCSeed_30,gwf2_scaffold_9_343,True,True,True,,
RBC4_73,gwe2_scaffold_1773_6,True,True,True,8.9,8.9
RBC_38,gi|406907169|gb|EKD48085.1|,True,False,True,,
RBCSeed_29,gwc2_scaffold_145_63,,,True,5.2,5.2
RBCSeed_26,gi|818320692|gb|KKQ04046.1|,,,False,,
RBC2_4,gi|406927721|gb|EKD63705.1|,,,False,,
RBC4_72,TARA_037.SAMEA2619970.600.0.22-1.6_1781908_3,,,False,,
RBC_36,gi|985672913|gb|KXB03553.1|,True,True,True,,
RBC_6,gi|499343659|ref|WP_011033198.1|,True,True,True,0.1,0.1
RBC4_2,gi|1004827596|gb|KYC52615.1|,True,True,True,,
RBCSeed_31,RIFCSPLOWO2_02_FULL_OP11_38_8_rifcsplowo2_02_scaffold_81990_5,True,True,False,,
RBC_5,gi|503280792|ref|WP_013515453.1|,True,True,False,,
RBC2_50,gi|499819577|ref|WP_011500311.1|,True,True,True,,
RBCSeed_25,gi|771607269|ref|WP_045218222.1|,True,True,True,,
RBC4_4,gi|504865161|ref|WP_015052263.1|,True,False,True,,
RBC_8,TARA_037.SAMEA2619974.600.0.1-0.22_25453_3,True,True,True,3.6,1.8
RBC4_3,gi|1223901358|ref|WP_091933438.1|,True,True,True,,
RBC4_7,gi|1223654907|ref|WP_091690387.1|,True,True,True,,
RBC3_4,WP_023846593.1,True,True,True,,
RBCSeed_14,gi|502802415|ref|WP_013037391.1|,,,False,,
RBC_41,TARA 732298,True,True,True,0.1,0.1
RBC_24,gi|495439326|ref|WP_008164021.1|,True,True,False,,
RBC_28,gi|504549936|ref|WP_014737038.1|,True,True,True,0.2,0.10000000000000002
RBC_4,gi|495361790|ref|WP_008086508.1|,True,True,True,0.6,0.6
RBC3_3,WP_088855153.1,True,False,False,,
Tk,gi|499570457|ref|WP_011251240.1|,True,True,True,0.0,0.0
RBCSeed_7,gi|1101080583|gb|OIO40810.1|,True,False,True,,
RBCSeed_35,TARA_138.SAMEA2623390.450.0.22-3_1579609_5,True,False,True,,
RBC_34,gi|941939571|gb|ALL01549.1|,True,True,True,0.1,0.05
RBCSeed_17,gi|545575118|gb|AGW32477.1|,True,False,True,,
RBCSeed_47,gi|1129108785|gb|OLP38317.1|,True,True,True,,
RBC4_79,gi|1090813824|emb|SEH04675.1|,,,False,,
RBC4_78,RIFOXYB2_FULL_PER_41_88_rifoxyb2_full_scaffold_4774_10,True,True,True,0.0,0.0
RBC4_77,gi|954037512|gb|ALP32073.1|,,,False,,
RBCSeed_34,TARA_137.SAMEA2623295.40.0.22-3_1305628_14,True,False,False,,
Se,,,,False,,
